,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
5,264.7121486549943,289.2700744616623,2141.3027913955757,4.20440214344197,0.027886156200484236,31.888993069686578,27155.0,0.050344232795603475,0,0
5,264.7121486549943,289.2700744616623,2141.3027913955757,4.20440214344197,0.027886156200484236,31.888993069686578,27155.0,0.050344232795603475,1,0
5,264.7121486549943,289.2700744616623,2141.3027913955757,4.20440214344197,0.027886156200484236,31.888993069686578,27155.0,0.050344232795603475,2,0
5,264.7121486549943,289.2700744616623,2141.3027913955757,4.20440214344197,0.027886156200484236,31.888993069686578,27155.0,0.050344232795603475,3,0
5,264.7121486549943,289.2700744616623,2141.3027913955757,4.20440214344197,0.027886156200484236,31.888993069686578,27155.0,0.050344232795603475,4,0
7,478.5013832023902,132.35387849950206,3866.0568335835887,3.1762438434369487,0.3847104283267262,109.08979667631017,18283.0,-0.11181843158601089,5,1
6,478.85172647257957,110.46689234935681,3159.3260723707867,3.270391991478733,0.42184968197475753,96.68350607390627,17628.0,-0.09806315530071598,5,2
5,476.9138319949472,92.16042587747,4741.342025739395,3.68943466919948,0.007697717928409708,85.56062484416485,24744.0,0.29147001810029677,5,3
3,459.8964997681966,68.2196337505795,3691.0853557772716,2.8272795234890835,0.23105540584164644,104.38396230988111,16730.0,-0.08391135497543065,5,4
2,264.7097163548582,289.2735868034601,2126.609330501717,4.204704667366148,0.027889710348177305,31.657431192340994,27155.0,0.12424868885518872,5,0
4,474.94663728683656,46.091301015520216,4465.409010616963,3.53416522206067,0.5090853162828813,106.95078105520605,16893.0,-0.08616853290792624,5,5
4,262.02328057349706,290.4285612889488,2033.9405327014658,4.06161292503885,0.10999810467331196,31.760019674520723,26837.0,0.03904298376808533,6,0
7,255.2517612161661,296.4083796811272,1973.6710350056314,4.049160274023638,0.158868390029723,31.02842116582824,26739.0,0.02950433649941677,7,0
7,251.790137032651,299.31593638978177,1834.788048652763,4.0553395734509445,0.0914064945288738,33.83385168383542,26508.0,0.0304609732663101,8,0
7,252.28758229700074,300.4365398683248,1693.498035010988,3.790231640521145,0.267406674817345,34.687596913173124,25760.0,0.045385498053497716,9,0
10,439.23209654897266,35.39208059046479,1552.579672551222,3.493746372354855,0.27087378637929693,34.8424522565355,25100.0,0.05318046167354897,9,6
8,267.9072333469555,303.4595831630568,1633.0598761850406,3.9051902424321465,0.2219124730846104,31.90039316781567,25694.0,0.05280870866935089,10,7
9,423.8190918841616,71.98248122988917,1627.8123614764595,3.733957461833047,0.24770193662029072,27.353300317981265,26750.0,0.044571604566288656,11,8
8,418.2890159045726,286.49254473161034,1756.4310714822864,3.969743503773531,0.2436697598415824,31.42719611002103,25562.0,0.05641117683266516,11,9
9,419.8770506912442,289.4693087557604,1538.2287131247933,3.716844209215129,0.29741260762739213,36.15191906422325,24588.0,0.07805304936246746,12,9
9,412.2064629099013,295.4602833492518,1722.0084730471654,3.7806268167681334,0.13986253335648471,31.38649636483611,24909.0,0.06605740511878369,13,9
10,405.18106574909325,114.90086487491862,1579.2315950570055,3.64212057924678,0.1412700874505743,28.78539873813569,25489.0,0.04007027775943263,15,10
12,415.9569847037945,304.4637877123299,1737.8450166753041,3.794597341621616,0.31199962263615066,37.45039121543164,23380.0,0.06379232580341952,15,9
14,389.7087811017523,181.44854293736083,1558.846123175116,3.4553007821337403,0.17625537820924259,29.12743748405435,22221.0,0.0446652472402384,20,11
15,398.05054080629304,166.07305801376597,1534.8499441079416,3.363272625464025,0.27899207807941934,38.1825993961956,20134.0,0.0683529779089158,20,12
16,403.1526085300838,197.123476770754,1585.257012085528,3.52301755654608,0.4799316358359197,37.578921935386184,20217.0,0.06694108389315531,20,13
20,500.6065872863453,590.1388515459957,1571.6742692173161,3.6316762524397803,0.4438478367490617,37.88076066579089,19757.0,0.07559510772831056,20,14
13,391.43258250392876,185.98805657412257,1509.891931718874,3.7286286427838817,0.20297902471463874,26.57536349175179,21762.0,0.048185446277778564,21,11
11,383.777933380014,203.09792937881363,1709.568452211582,3.3889445973112475,0.24518716145136282,36.59574360040798,21262.0,0.050469497284327605,23,15
7,358.37155882868666,123.45467297913379,1602.5260442327433,3.776827006087514,0.2934488732738311,33.43864619738672,20707.0,0.1305636007094118,25,16
8,377.8195578387304,215.9251444821576,1531.5742949483722,3.3971312708636505,0.3005633732668615,35.82712092577148,22709.0,0.07348724030990522,25,17
5,353.06175099866846,134.46296604527296,1654.9999824258746,3.8281471218008063,0.29929584792265945,31.403128827654744,19817.0,0.14840711075484525,26,18
6,377.04518284106894,223.56865330520395,1566.850848874563,3.541433971010433,0.18309378086596367,29.33713351004588,21787.0,0.08413390761791707,26,17
6,345.9592835379928,138.27153540762626,1630.468299962916,3.66312993384025,0.32622089145199945,38.38698333399904,19762.0,0.14996114743281616,27,18
5,327.85195555957006,166.14379911480444,1715.1128280648484,3.8067655806091363,0.30025680603596766,38.57493398863222,20123.0,0.07564485271502967,32,19
13,505.3650933427263,583.1734765762592,1657.1275570631342,3.7746022839836137,0.3848762887165524,37.21094813764523,19257.0,0.09406250387068209,35,20
11,417.2728965003723,11.510145197319435,1567.8212815327856,3.6389169139698523,0.38853851348597757,32.2494883859592,19149.0,0.09771715883328613,35,21
8,414.8834902825085,50.150671208174714,1519.6574981427557,3.688982986115459,0.4139305875622794,29.534517595641613,19258.0,0.0930274209893379,36,22
10,487.53165847779735,702.2515064429406,1642.2105221865263,3.757443710700678,0.2381861214540687,29.23003803279995,22865.0,0.04121595965296706,36,23
8,388.29871252882396,91.0456379707917,1648.352125567119,3.6653853769512454,0.45808628205329427,32.4665820274077,18685.0,0.11066761467830034,37,24
11,490.07453927725726,710.3259549057964,1538.2824938156634,3.3806822778014425,0.41436239205991104,38.95989843288924,20215.0,0.0665343022226768,37,23
13,505.48042799821667,584.2971912617031,1776.1595972554994,3.8142212244203333,0.41716651392401766,40.22688699981247,19129.0,0.09280366159648416,37,20
11,504.3932900223019,583.2501696887424,1538.0601297979472,3.70737025416848,0.4763168720178813,38.030188412535296,18495.0,0.12316753937627654,38,20
12,505.5499360425071,1009.1449375184493,1515.68943073175,3.632007556989296,0.41153196757498806,34.15260057439444,19880.0,0.07449414385680035,38,25
3,340.53502392344495,385.0313875598086,1558.492034945074,3.498748921991796,0.17749882052662738,31.02070270512683,21842.0,0.04775831690124573,38,26
6,367.11509842705095,148.65630592446078,1583.3980799054402,3.6376962674110302,0.3803987134171825,29.976736748704294,19258.0,0.09056758110226078,38,27
5,352.27542589003366,223.52300316229724,1572.4223743626308,3.633438726115494,0.37671236520031853,31.920029837617417,19188.0,0.09478848842782928,40,28
10,502.1238818389848,582.8709174121074,1542.1063661248936,3.666880994297005,0.534584258791473,40.90255079694694,18465.0,0.12770229067208402,40,20
11,504.236920459379,1019.73606975755,1508.421912527408,3.594799873923469,0.44440354114846486,34.00525791746177,20512.0,0.06439496890890362,40,29
3,341.13735864716256,261.7217553688142,1512.2994443044056,3.5690976935776755,0.39798538248375853,31.06497457954895,19481.0,0.08583542203510934,41,30
9,467.1610785699859,769.099676832963,1553.5625165994632,3.3799042556286594,0.27437950166406266,34.673532232728874,21299.0,0.0543545874577887,41,31
11,504.45640212627063,583.0449501072461,1682.3723354368858,3.77646402072893,0.40808299229512107,40.00792180699486,19248.0,0.09271774307100107,41,20
0,221.8679117476292,367.0860267079543,1597.6985517248172,3.6154143900159963,0.39668016216555063,31.230414887595614,19798.0,0.08197699762201952,42,32
14,483.0535049462823,20.314115519625574,1550.974659664273,3.6655173502457554,0.4020409703486308,32.171051870496036,19241.0,0.09847197811867697,43,33
15,502.27068824252353,582.4766489143793,1610.8623100693503,3.661180146557515,0.5064527134573913,42.0698370614179,18223.0,0.15471286449346133,43,20
4,316.9122488242839,328.8513253527148,1543.5505707710818,3.6429460614783373,0.4000063826125132,30.85121384503979,19434.0,0.09212300680192377,43,34
0,207.01592863969418,392.83551024742485,1553.6143357151857,3.6208339603668995,0.4281395407992772,32.5010113768601,19655.0,0.08578928863972286,43,35
8,344.18881266490763,28.84622691292876,1563.1831613997433,3.6190058256691042,0.3858483650385095,31.841092364131978,19289.0,0.09681257853667852,43,36
5,304.1366588940706,373.63124583610926,1609.1945319680847,3.624200157572045,0.360018143260999,31.22437757732876,19598.0,0.08531480232924833,44,37
11,375.33404255319147,672.6579787234043,1511.6351033144567,3.6097778953698394,0.3968883680801222,33.10052043605238,20069.0,0.07421106769544544,44,38
16,469.90034890647604,53.77372138541401,1574.753909490087,3.6545121575749326,0.40525328493081875,31.626408189912393,19103.0,0.10123356104325563,44,39
2,254.86642143983184,12.47735155018392,1525.4422288941983,3.547056242490149,0.3735650884890243,33.02586433549184,19345.0,0.09904221324128401,45,40
5,296.97809241366116,387.08715201377595,1675.8221354315347,3.6751002448921986,0.42403883137546255,32.384585416356074,18659.0,0.12974258685849038,45,41
16,465.06254637973075,84.2528357892505,1512.296011051915,3.6568459083264253,0.41698104060210583,29.819469739813016,19042.0,0.11060178534341372,45,42
17,504.3342629098952,582.3379171074142,1667.164870023202,3.651044767859354,0.47889363529062345,40.88153109490494,18605.0,0.13298750546667562,45,20
0,182.29493177387914,27.708089668615983,1535.7462745895793,3.625136953788532,0.3780430742813589,30.535306044471167,22775.0,0.04721546124228541,46,43
18,503.28397467121283,582.3363857769118,1536.4946889534144,3.734203619018426,0.528672203731923,38.16913255558896,21736.0,0.06563682153370584,46,20
14,446.2287688670667,146.16712129478086,1741.293152260551,3.60923125912838,0.43080989427065103,36.25714965154266,18015.0,0.20054336143218585,47,44
8,323.5994458737384,56.87067088858104,1600.0644296003936,3.573394330515675,0.4212768373368803,35.623836993873795,19009.0,0.11970619229300064,47,45
15,457.75317786007406,154.88349514563106,1581.8566906924138,3.655410486284805,0.4110030226920318,31.665632883443372,18896.0,0.12545507016981122,47,46
2,203.31278098908157,478.0388109000826,1725.6186639832467,3.6410661983588364,0.4396156020939122,37.682103131297616,19089.0,0.11594472404491493,47,47
7,313.04906676929,144.2011737540889,1645.6629409525522,3.633394912680852,0.46139216704301633,35.46550882945658,17935.0,0.21206928834547628,47,48
16,498.130398205272,584.1991026360067,1693.794702935386,3.5659924442635043,0.3757970675026294,40.373681926390304,19222.0,0.11018848716185595,47,20
